OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21087258005-SW,Sample-Routine,Water,Surface Water,2021-09-15,11:12:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589680,Not Detected,as P,Orthophosphate,Dissolved,,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,ISU,2021-09-15,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2021-A21087258005-SW/results/982589680/resdetectqntlmts,Method Detection Level,0.01,mg/L,,2023-07-17T16:34:18,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1745208-SW,Sample-Routine,Water,Surface Water,2021-07-01,10:20:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911712525,,,Chloride,Total,16,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,300.0,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,UHL,2021-07-03,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1745208-SW/results/911712525/resdetectqntlmts,Method Detection Level,0.2,mg/L,,2021-09-08T09:07:34,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1648615-SW,Sample-Routine,Water,Surface Water,2021-04-05,10:00:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911708608,,as P,Phosphate-phosphorus,Total,0.06,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,LAC 10-115-01-1F,21IOWA_WQX,LAC 10-115-01-1F  (UHL),,,UHL,2021-04-15,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1648615-SW/results/911708608/resdetectqntlmts,Method Detection Level,0.02,mg/L,,2021-09-08T09:07:06,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21082209001-MW,Field Msr/Obs,Water,Surface Water,2021-07-28,12:42:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010003,Meadow Lake,,,,,41.3870980000,-94.4375420000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589344,,,"Depth, Secchi disk depth",Total,0.625,m,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Unknown,21IOWA_WQX,Unknown,,,ISU,2021-07-28,,,,,,,2023-07-17T16:34:13,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21067258003-MW,Field Msr/Obs,Water,Surface Water,2021-09-15,08:20:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010002,Lake Orient,,,,,41.1964370000,-94.4361760000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982588441,,,Specific conductance,Total,315.225,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ISU 2510,21IOWA_WQX,ISU modification of APHA 2510,,,ISU,2021-09-15,,,,,,,2023-07-17T16:34:00,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21245154007-SW,Sample-Routine,Water,Surface Water,2021-06-03,10:10:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010005,Nodaway Lake,,,,,41.2893680000,-94.4975660000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982592172,,as N,Nitrate + Nitrite,Dissolved,1.54,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,ISU,2021-06-03,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2021-A21245154007-SW/results/982592172/resdetectqntlmts,Method Detection Level,0.14,mg/L,,2023-07-17T16:34:53,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1784313-SW,Sample-Routine,Water,Surface Water,2021-08-05,11:30:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-982532787,,,Nickel,Dissolved,0.64,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,UHL,2021-12-08,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1784313-SW/results/982532787/resdetectqntlmts,Method Detection Level,0.5,ug/L,,2023-07-17T16:13:19,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1745209-SW,Sample-Routine,Water,Surface Water,2021-07-01,09:25:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911712545,,,"Alkalinity, total",Total,200,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,2320-B,APHA,2320 B ~ Alkalinity by Gran Titration,,https://www.nemi.gov/methods/method_summary/9694/,UHL,2021-07-08,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1745209-SW/results/911712545/resdetectqntlmts,Method Detection Level,1,mg/L,,2021-09-08T09:07:34,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21082154005-SW,Sample-Routine,Water,Surface Water,2021-06-03,12:23:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010003,Meadow Lake,,,,,41.3870980000,-94.4375420000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589327,,as N,Ammonia-nitrogen,Dissolved,0.035,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,ISU,2021-06-03,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2021-A21082154005-SW/results/982589327/resdetectqntlmts,Method Detection Level,0.014,mg/L,,2023-07-17T16:34:13,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21082209001-SW,Sample-Routine,Water,Surface Water,2021-07-28,12:42:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010003,Meadow Lake,,,,,41.3870980000,-94.4375420000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589355,,,Microcystin,Total,1.473,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ISU 546 OH,21IOWA_WQX,Iowa State University Microcystin,,,ISU,2021-07-28,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2021-A21082209001-SW/results/982589355/resdetectqntlmts,Method Detection Level,0.3,ug/L,,2023-07-17T16:34:13,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1885825-SW,Sample-Routine,Water,Surface Water,2021-10-11,10:50:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-982536945,Not Detected,,"Carbonaceous biochemical oxygen demand, standard conditions",Total,,mg/L,,Final,,Actual,,5 Day,,,,,,,,,,,,,,,,,,5210-B,APHA,5210 B ~ 5-Day Biochemical Oxygen Demand,,https://www.nemi.gov/methods/method_summary/5715/,UHL,2021-10-13,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1885825-SW/results/982536945/resdetectqntlmts,Method Detection Level,2,mg/L,,2023-07-17T16:14:21,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1715912-SW,Sample-Routine,Water,Surface Water,2021-06-02,10:40:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911711364,,,Chloride,Total,21,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,300.0,USEPA,300.0 ~ EPA; Determination of Inorganic Anions by Ion Chromatography,,https://www.nemi.gov/methods/method_summary/4680/,UHL,2021-06-04,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1715912-SW/results/911711364/resdetectqntlmts,Method Detection Level,0.2,mg/L,,2021-09-08T09:07:26,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1608728-SW,Sample-Routine,Water,Surface Water,2021-03-02,08:30:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911707161,,as P,Phosphate-phosphorus,Total,0.04,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,LAC 10-115-01-1F,21IOWA_WQX,LAC 10-115-01-1F  (UHL),,,UHL,2021-03-25,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1608728-SW/results/911707161/resdetectqntlmts,Method Detection Level,0.02,mg/L,,2021-09-08T09:06:55,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1684090-SW,Sample-Routine,Water,Surface Water,2021-05-04,10:00:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911709954,,,Total dissolved solids,Dissolved,300,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,2540-C,APHA,2540 C ~ Total Dissolved Solids in Water,,https://www.nemi.gov/methods/method_summary/9818/,UHL,2021-05-06,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1684090-SW/results/911709954/resdetectqntlmts,Method Detection Level,1,mg/L,,2021-09-08T09:07:16,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21087154006-MW,Field Msr/Obs,Water,Surface Water,2021-06-03,08:45:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589632,,,Dissolved oxygen saturation,Total,108.8666667,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ISU 4500-O-G,21IOWA_WQX,ISU modification of APHA 4500-O-G,,,ISU,2021-06-03,,,,,,,2023-07-17T16:34:17,STORET
UMRR_LTRM,Upper Mississippi River Restoration - Long Term Resource Monitoring,UMRR_LTRM-UI02.9M:20210112:1103:FM:PS:0.2,Field Msr/Obs,Water,,2021-01-12,11:03:00,CST,,,,,0.2,m,,,,,,UMRR_LTRM_FIXED_SITE_WQ_DATA,Upper Mississippi River Restoration-Long Term Resource Monitoring Water Quality Data Wate Quality Fixed Site Data,,UMRR_LTRM-UI02.9M,Upper Iowa River 02.9M,,,,,43.4740000000,-91.2950000000,Field Sample Method,UMRR_LTRM,Field Sample Method,,Probe/Sensor,STORET-991836068,,,Conductivity,,554,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-27T20:44:50,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1838515-SW,Sample-Routine,Water,Surface Water,2021-09-09,10:00:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-982535559,,,"Hardness, carbonate",Total,300,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,2340C,APHA_SM20ED,2340 C ~ EDTA Titrimetric Method (Hardness),,,UHL,2021-09-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1838515-SW/results/982535559/resdetectqntlmts,Method Detection Level,1,mg/L,,2023-07-17T16:14:01,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21082154005-MW,Field Msr/Obs,Water,Surface Water,2021-06-03,12:23:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010003,Meadow Lake,,,,,41.3870980000,-94.4375420000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589324,,,"Depth, Secchi disk depth",Total,1.25,m,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Unknown,21IOWA_WQX,Unknown,,,ISU,2021-06-03,,,,,,,2023-07-17T16:34:13,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1784307-SW,Sample-Routine,Water,Surface Water,2021-08-05,10:40:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-982532728,,,Total suspended solids,Non-Filterable (Particle),5,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,I3765,USDOI/USGS,Residue by Evaporation and Gravimetric,,https://www.nemi.gov/methods/method_summary/5495/,UHL,2021-08-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1784307-SW/results/982532728/resdetectqntlmts,Method Detection Level,1,mg/L,,2023-07-17T16:13:18,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21087258005-SW,Sample-Routine,Water,Surface Water,2021-09-15,11:12:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589678,Not Detected,as N,Kjeldahl nitrogen,Total,,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,351.2,USEPA,351.2 ~ EPA; Total Kjeldahl Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/9626/,ISU,2021-09-15,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2021-A21087258005-SW/results/982589678/resdetectqntlmts,Method Detection Level,0.86,mg/L,,2023-07-17T16:34:18,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1960470-SW,Sample-Routine,Water,Surface Water,2021-12-07,11:15:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-982540534,,,Potassium,Total,1.8,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,200.7(W),USEPA,200.7 W  ~ Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,UHL,2021-12-13,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1960470-SW/results/982540534/resdetectqntlmts,Method Detection Level,1,mg/L,,2023-07-17T16:15:18,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21245258002-MW,Field Msr/Obs,Water,Surface Water,2021-09-15,09:25:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010005,Nodaway Lake,,,,,41.2893680000,-94.4975660000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982592200,,,Specific conductance,Total,327.5857143,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,ISU 2510,21IOWA_WQX,ISU modification of APHA 2510,,,ISU,2021-09-15,,,,,,,2023-07-17T16:34:53,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1684091-MW,Field Msr/Obs,Water,Surface Water,2021-05-04,11:00:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,,,,,,STORET-911709967,,,"Temperature, water",Total,12.2,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,2550,APHA,Temperature of Water by Thermometer,,,UHL,2021-05-04,,,,,,,2021-09-08T09:07:16,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21245258002-SW,Sample-Routine,Water,Surface Water,2021-09-15,09:25:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010005,Nodaway Lake,,,,,41.2893680000,-94.4975660000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982592212,,as N,Nitrate + Nitrite,Dissolved,0.149,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,ISU,2021-09-15,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2021-A21245258002-SW/results/982592212/resdetectqntlmts,Method Detection Level,0.14,mg/L,,2023-07-17T16:34:53,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-LAKE-ISU-2021-A21087154006-SW,Sample-Routine,Water,Surface Water,2021-06-03,08:45:00,CST,,,,,,,,,,,,AMBLAKE-ISU,Ambient lake program - data collected by Iowa State University Limnology Lab (ISU),,21IOWA_WQX-22010004,Mormon Trail Lake,,,,,41.2428030000,-94.6356850000,ISULAKE,21IOWA_WQX,ISU Lake Sample Collection Procedure,,Miscellaneous (Other),STORET-982589636,Not Detected,as N,Ammonia,Dissolved,,mg/L,,Final,,Calculated,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,ISU,2021-06-03,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-LAKE-ISU-2021-A21087154006-SW/results/982589636/resdetectqntlmts,Method Detection Level,0.00001,mg/L,,2023-07-17T16:34:17,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1526972-SW,Sample-Routine,Water,Surface Water,2021-01-05,08:50:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911704809,,,Escherichia coli,Total,20,MPN/100mL,,Final,,Actual,,,,,,,,,,,,,,,,,,,,9223-B,APHA,9223 B ~ Enzyme substrate assay for measuring total coliforms and E. coli (ONPG-MUG test or CPRG-MUG test),,https://www.nemi.gov/methods/method_summary/5583/,UHL,2021-01-05,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1526972-SW/results/911704809/resdetectqntlmts,Method Detection Level,10,MPN/100mL,,2021-09-08T09:06:37,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1960479-SW,Sample-Routine,Water,Surface Water,2021-12-07,11:15:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030002,Yellow River at Ion,,,,,43.1117790000,-91.2649210000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-982540645,Not Detected,,Lead,Dissolved,,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,UHL,2022-02-07,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1960479-SW/results/982540645/resdetectqntlmts,Method Detection Level,2,ug/L,,2023-07-17T16:15:20,STORET
21IOWA_WQX,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX-AMBIENT-SHL-1608728-SW,Sample-Routine,Water,Surface Water,2021-03-02,08:30:00,CST,,,,,,,,,,,,AMBIENT,Ambient stream water quality monitoring,21IOWA_WQX,21IOWA_WQX-10030001,Upper Iowa River near Dorchester,,,,,43.4214980000,-91.5089170000,UHL001,21IOWA_WQX,Standard UHL Sampling Procedure - Grab Samples,,Water Bottle,STORET-911707160,,as N,Kjeldahl nitrogen,Total,0.23,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,LAC 10-107-06-2M,21IOWA_WQX,LAC 10-107-06-2M (UHL),,,UHL,2021-03-15,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21IOWA_WQX/activities/21IOWA_WQX-AMBIENT-SHL-1608728-SW/results/911707160/resdetectqntlmts,Method Detection Level,0.1,mg/L,,2021-09-08T09:06:55,STORET
